aaa	T01445	Acidovorax avenae
sid	T00906	Sulfolobus islandicus M.16.4
sie	T02156	Streptococcus intermedius JTH08
sif	T01765	Streptococcus infantarius
sig	T02879	Streptococcus sp. I-G2
sih	T01952	Sulfolobus islandicus HVE10/4
sii	T01158	Sulfolobus islandicus L.D.8.5
sij	T03977	Scardovia inopinata
sik	T02686	Streptococcus iniae SF1
sil	T00215	Ruegeria pomeroyi
sim	T00900	Sulfolobus islandicus M.16.27
simp	T05361	Simplicispira suum
sin	T00902	Sulfolobus islandicus Y.N.15.51
sinb	T04604	Sphingobium indicum
sind	T04135	Sesamum indicum (sesame)
sino	T05069	Sinorhizobium sp. CCBAU 05631
sio	T03286	Streptococcus iniae ISNO
sip	T02880	Streptococcus sp. I-P16
siq	T03285	Streptococcus iniae ISET0901
sir	T01953	Sulfolobus islandicus REY15A
sis	T00889	Sulfolobus islandicus L.S.2.15
sit	T00359	Ruegeria sp. TM1040
sita	T02818	Setaria italica (foxtail millet)
siu	T02831	Streptococcus intermedius C270
siv	T02162	Solibacillus silvestris StLB046
six	T04514	Sinorhizobium sp. RAC02
siy	T00901	Sulfolobus islandicus Y.G.57.14
siz	T03674	Streptococcus iniae SFST01-82
sja	T04959	Shewanella japonica
sje	T04359	Salimicrobium jeotgali
sjj	T00873	Streptococcus pneumoniae JJA (serotype 14)
sjp	T01201	Sphingobium japonicum
ske	T01214	Sanguibacter keddieii
skl	T05401	Staphylococcus kloosii
skn	T04056	Spiroplasma kunkelii
sko	T04123	Saccoglossus kowalevskii (acorn worm)
skr	T04828	Sphingomonas koreensis
sks	T05956	Salinivibrio kushneri
sku	T01370	Sulfuricurvum kujiense
sla	T03135	Serpula lacrymans
slau	T05205	Streptomyces laurentii
slb	T05270	Sugiyamaella lignohabitans
slc	T04699	Streptomyces lydicus 103
sld	T03756	Streptomyces lydicus A02
sle	T04414	Streptomyces leeuwenhoekii
slg	T01177	Staphylococcus lugdunensis HKU09-01
slh	T03877	Sulfurovum lithotrophicum
sli	T01156	Spirosoma linguale
slim	T05241	Sulfuricaulis limicola
slj	T05875	Shewanella livingstonensis
sll	T04047	Spiroplasma litorale
slm	T04630	Stenotrophomonas sp. LM091
sln	T01951	Staphylococcus lugdunensis N920143
slo	T00489	Shewanella loihica
slp	T01253	Syntrophothermus lipocalidus
slq	T02740	Serratia liquefaciens
slr	T03013	Salinispira pacifica
sls	T04801	Streptomyces lincolnensis
slt	T01196	Sideroxydans lithotrophicus
slu	T02775	Streptococcus lutetiensis
slv	T03222	Streptomyces lividans
slw	T05303	Synechococcus lividus
slx	T05314	Streptomyces lavendulae
sly	T02665	Solanum lycopersicum (tomato)
slz	T04991	Staphylococcus lutrae
sma	T00126	Streptomyces avermitilis
smac	T03985	Serratia marcescens subsp. marcescens Db11
smaf	T02433	Serratia sp. FGI94
smag	T04104	Sphingopyxis macrogoltabida EY-1
smal	T05189	Streptomyces malaysiensis
smar	T03592	Serratia marcescens SM39
smav	T05400	Shewanella marisflavi
smaz	T04627	Sphingopyxis macrogoltabida 203
smb	T01173	Streptococcus mitis
smc	T01185	Streptococcus mutans NN2025 (serotype c)
smd	T00555	Sinorhizobium medicae
sme	T00058	Sinorhizobium meliloti 1021
smeg	T02405	Sinorhizobium meliloti GR4
smel	T02497	Sinorhizobium meliloti 2011
smer	T03395	Sinorhizobium meliloti RMO17
smf	T01125	Streptobacillus moniliformis
smg	T00630	Candidatus Sulcia muelleri GWSS
smh	T01203	Candidatus Sulcia muelleri DMIN
smi	T02332	Sinorhizobium meliloti Rm41
smia	T03382	Spiroplasma mirum ATCC 29335 SMCA
smic	T05811	Sphingosinicella microcystinivorans
smin	T04349	Breviolum minutum
smir	T03003	Spiroplasma mirum ATCC 29335
smiz	T05395	Sphingobacterium mizutaii
smj	T02086	Streptococcus mutans LJ23 (serotype k)
smk	T01521	Sinorhizobium meliloti AK83
sml	T00718	Stenotrophomonas maltophilia K279a
smm	T01095	Schistosoma mansoni
smn	T01674	Streptococcus macedonicus
smo	T01496	Selaginella moellendorffii
smon	T04702	Spirosoma montaniterrae
smp	T01610	Sordaria macrospora
smq	T01884	Sinorhizobium meliloti BL225C
smr	T00485	Staphylothermus marinus
sms	T00958	Candidatus Sulcia muelleri SMDSEM
smt	T00733	Stenotrophomonas maltophilia R551-3
smu	T00100	Streptococcus mutans UA159 (serotype c)
smua	T03797	Streptococcus mutans UA159-FR
smub	T03352	Candidatus Sulcia muelleri BGSS
smue	T03664	Candidatus Sulcia muelleri TETUND
smul	T03049	Sulfurospirillum multivorans
smum	T03536	Candidatus Sulcia muelleri ML
smup	T03672	Candidatus Sulcia muelleri PSPU
smur	T05344	Simonsiella muelleri
smut	T02185	Streptococcus mutans GS-5 (serotype c)
smv	T02783	Candidatus Sulcia muelleri Sulcia-ALF
smw	T02448	Serratia marcescens WW4
smx	T01885	Sinorhizobium meliloti SM11
smy	T04509	Sphingomonas melonis
smz	T02061	Stenotrophomonas maltophilia D457
sna	T01194	Stackebrandtia nassauensis
snb	T01308	Streptococcus pneumoniae 670-6B (serotype 6B)
snc	T01259	Streptococcus pneumoniae TCH8431/19A (serotype 19A)
snd	T02087	Streptococcus pneumoniae ST556 (serotype 19F)
sne	T00843	Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
sng	T01559	Simkania negevensis
sni	T02072	Streptococcus pneumoniae INV104 (serotype 1)
snj	T04479	Sphingomonas sp. NIC1
snl	T05272	Staphylococcus nepalensis
snm	T00872	Streptococcus pneumoniae 70585 (serotype 5)
sno	T01258	Starkeya novella
snp	T01309	Streptococcus pneumoniae AP200 (serotype 11A)
snr	T04806	Streptomyces noursei
sns	T03854	Sneathia amnii
snt	T00875	Streptococcus pneumoniae Taiwan19F-14 (serotype 19F)
snu	T02245	Streptococcus pneumoniae SPNA45 (serotype 3)
snv	T02073	Streptococcus pneumoniae INV200 (serotype 14)
snw	T04887	Streptomyces niveus
snx	T02074	Streptococcus pneumoniae OXC141 (serotype 3)
snz	T05839	Streptomyces nigra
sob	T05144	Solibacillus sp. R5-41
soc	T03916	Solenopsis invicta (red fire ant)
sod	T03004	Sodalis praecaptivus
soe	T05137	Spinacia oleracea (spinach)
soi	T02649	Streptococcus cristatus
sok	T05591	Solimonas sp. K1W22B-7
sol	T02126	Saccharolobus solfataricus 98/2
son	T00099	Shewanella oneidensis
soo	T05977	Schaalia odontolytica
sor	T01476	Streptococcus oralis
sot	T02981	Solanum tuberosum (potato)
sox	T03502	Candidatus Saccharibacteria oral
soz	T00780	Streptococcus pyogenes NZ131 (serotype M49)
spa	T00191	Streptococcus pyogenes MGAS10394 (serotype M6)
spaa	T03101	Spathaspora passalidarum
span	T04760	Sphingomonas panacis
spar	T04137	Saprolegnia parasitica
spas	T02889	Staphylococcus pasteuri
spat	T05054	Streptococcus pantholopis
spav	T04685	Streptomyces parvulus
spb	T00263	Streptococcus pyogenes MGAS6180 (serotype M28)
spc	T00513	Shewanella putrefaciens CN-32
spd	T00413	Streptococcus pneumoniae D39 (virulent serotype 2)
spe	T00595	Serratia proteamaculans
spen	T04130	Solanum pennellii
spet	T04943	Staphylococcus pettenkoferi
spf	T00497	Streptococcus pyogenes Manfredo (serotype M5)
spg	T00089	Streptococcus pyogenes MGAS315 (serotype M3)
sph	T00355	Streptococcus pyogenes MGAS10270 (serotype M2)
spha	T05706	Sphingomonas sp. YZ-8
sphb	T04432	Sphingobium sp. EP60837
sphc	T05307	Sphingomonas sp. Cra20
sphd	T05200	Sphingomonas wittichii DC-6
sphf	T05685	Sphingomonas sp. FARSPH
sphg	T04317	Sphingorhabdus sp. M41
sphi	T03848	Sphingomonas sp. WHSC-8
sphj	T04967	Sphingomonas sp. JJ-A5
sphk	T03542	Sphingopyxis fribergensis
sphl	T04602	Sphingopyxis sp. LPB0140
sphm	T02498	Sphingomonas sp. MM-1
sphn	T04670	Sphingobacterium sp. B29
spho	T05382	Sphingopyxis sp. MG
sphp	T04069	Sphingopyxis sp. 113P3
sphq	T04913	Sphingopyxis sp. QXT-31
sphr	T04461	Sphingobium sp. RAC03
sphs	T05826	Sphingosinicella sp. BN140058
spht	T04965	Sphingobium sp. TKS
sphu	T05531	Uncultured Sphingopyxis sp. UC10
sphy	T05308	Sphingorhabdus sp. YGSMI21
spi	T00356	Streptococcus pyogenes MGAS10750 (serotype M4)
spir	T05236	Spirosoma pollinicola
spis	T05774	Stylophora pistillata
spiu	T02888	Spiribacter sp. UAH-SP71
spj	T00357	Streptococcus pyogenes MGAS2096 (serotype M12)
spk	T00358	Streptococcus pyogenes MGAS9429 (serotype M12)
spkc	T04987	Sphingomonas sp. KC8
spl	T00606	Shewanella pealeana
splk	T04954	Sphingomonas sp. LK11
splm	T04824	Sphingomonas sp. LM7
splu	T04845	Streptomyces pluripotens
sply	T04576	Serratia plymuthica PRI-2C
spm	T00079	Streptococcus pyogenes MGAS8232 (serotype M18)
spmi	T04383	Sphingobium sp. MI1205
spn	T00057	Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spne	T02628	Streptococcus pneumoniae SPN034156 (serotype 3)
spng	T02334	Streptococcus pneumoniae gamPNI0373 (virulent serotype 1)
spnm	T02630	Streptococcus pneumoniae SPN994038 (serotype 3)
spnn	T02890	Streptococcus pneumoniae A026 (serotype 19F)
spno	T02631	Streptococcus pneumoniae SPN994039 (serotype 3)
spnu	T02629	Streptococcus pneumoniae SPN034183 (serotype 3)
spo	T00076	Schizosaccharomyces pombe (fission yeast)
spoa	T05805	Sporanaerobacter sp. NJN-17
spoi	T03945	Spongiibacter sp. IMCC21906
spon	T05505	Flagellimonas sp. HME9304
spop	T04826	Sporosarcina sp. P37
spor	T04790	Sporosarcina sp. P33
spos	T05572	Sporosarcina sp. PTS2304
spp	T00874	Streptococcus pneumoniae P1031 (serotype 1)
spq	T00628	Salmonella enterica subsp. enterica serovar Paratyphi B
spr	T00060	Streptococcus pneumoniae R6 (avirulent serotype 2)
spri	T04073	Streptomyces pristinaespiralis
sprn	T05859	Spiroplasma sp. NBRC 100390
sps	T00119	Streptococcus pyogenes SSI-1 (serotype M3)
spsc	T05967	Sphingobacterium psychroaquaticum
spse	T04974	Sulfitobacter pseudonitzschiae
spsw	T05063	Shewanella psychrophila
spsy	T04327	Sporosarcina psychrophila
spt	T00219	Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
spu	T01019	Strongylocentrotus purpuratus (purple sea urchin)
spun	T05140	Streptomyces puniciscabiei
spv	T00658	Streptococcus pneumoniae Hungary19A 6 (serotype 19A)
spw	T00690	Streptococcus pneumoniae CGSP14 (serotype 14)
spx	T00734	Streptococcus pneumoniae G54 (serotype 19F)
spy	T00050	Streptococcus pyogenes M1 GAS (serotype M1)
spya	T02335	Streptococcus pyogenes A20 (serotype M1)
spyg	T05858	Sphingobium sp. YG1
spyh	T02743	Streptococcus pyogenes HSC5 (serotype M14)
spym	T02499	Streptococcus pyogenes M1 476 (serotype M1)
spyo	T03472	Streptococcus pyogenes STAB901 (serotype M44)
spz	T00262	Streptococcus pyogenes MGAS5005 (serotype M1)
squ	T05941	Serratia quinivorans
sra	T02012	Serratia sp. AS13
srb	T02946	Candidate division SR1 bacterium RAAC1_SR1_1
src	T02907	Streptomyces rapamycinicus
srd	T03819	Spirosoma radiotolerans
sre	T04136	Salpingoeca rosetta
srg	T04487	Candidate division SR1 bacterium Aalborg_AAW-1
srh	T04500	Stenotrophomonas rhizophila
sri	T01799	Selenomonas ruminantium
srl	T02710	Serratia plymuthica 4Rx13
srm	T01209	Salinibacter ruber M8
srn	T04616	Streptomyces rubrolavendulae
sro	T01137	Streptosporangium roseum
srp	T02125	Streptococcus suis ST1 (serotype 1)
srq	T05916	Streptococcus ruminantium
srr	T01503	Serratia plymuthica AS9
srs	T01502	Serratia sp. AS12
srt	T01238	Segniliparus rotundus
sru	T00312	Salinibacter ruber DSM 13855
srub	T05289	Salinigranum rubrum
srw	T04246	Streptomyces reticuli
srx	T04916	Sinocyclocheilus rhinocerous
sry	T02716	Serratia plymuthica S13
srz	T04417	Serratia rubidaea
ssa	T00473	Streptococcus sanguinis
ssab	T03048	Spiroplasma sabaudiense
ssah	T04634	Streptococcus salivarius HSISS4
ssal	T02685	Spiribacter salinus
ssan	T03929	Sphingomonas sanxanigenens
ssb	T00935	Streptococcus suis BM407 (serotype 2)
ssc	T01009	Sus scrofa (pig)
ssch	T04012	Staphylococcus schleiferi 1360-13
ssck	T05555	Sporothrix schenckii
sscu	T05176	Staphylococcus sciuri
sscz	T04520	Staphylococcus schleiferi 2317-03
ssd	T01396	Staphylococcus pseudintermedius HKU10-03
ssdc	T02777	Candidatus Profftella armatura
sse	T00596	Shewanella sediminis
ssf	T02020	Streptococcus suis A7 (serotype 2)
ssg	T01474	Selenomonas sputigena
ssi	T00936	Streptococcus suis P1/7 (serotype 2)
ssia	T05110	Streptomyces alfalfae
ssif	T04303	Staphylococcus simulans
ssil	T04506	Solibacillus silvestris DSM 12223
ssk	T02021	Streptococcus suis D12 (serotype 9)
ssl	T01071	Sclerotinia sclerotiorum
ssm	T01287	Sediminispirochaeta smaragdinae
ssn	T00274	Shigella sonnei Ss046
sso	T00054	Saccharolobus solfataricus P2
ssoa	T03910	Saccharolobus solfataricus SULA
ssob	T05567	Streptococcus sobrinus
ssof	T03912	Saccharolobus solfataricus SARC-C
ssol	T03911	Saccharolobus solfataricus SARC-B
ssp	T00269	Staphylococcus saprophyticus
ssq	T02022	Streptococcus suis D9 (serotype 7)
ssr	T01580	Streptococcus salivarius CCHSS3
sss	T00937	Streptococcus suis SC84 (serotype 2)
sst	T01470	Streptococcus suis ST3 (serotype 3)
ssu	T00514	Streptococcus suis 05ZYH33 (serotype 2)
ssui	T02891	Streptococcus suis T15
ssus	T02536	Streptococcus suis SC070731 (serotype 2)
ssut	T02672	Streptococcus suis TL13 (serotype 16)
ssuy	T03173	Streptococcus suis YB51 (serotype 3)
ssv	T00515	Streptococcus suis 98HAH33 (serotype 2)
ssw	T02023	Streptococcus suis GZ1 (serotype 2)
ssx	T01601	Streptomyces sp. SirexAA-E
ssy	T01622	Sphingobium sp. SYK-6
ssyr	T02677	Spiroplasma syrphidicola
ssz	T01672	Serratia symbiotica
sta	T01315	Spirochaeta thermophila DSM 6192
stai	T02742	Spiroplasma taiwanense
stan	T05130	Stanieria sp. NIES-3757
stax	T03398	Sphingomonas taxi
stb	T01524	Streptococcus pasteurianus
stc	T00212	Streptococcus thermophilus CNRZ1066
std	T01590	Streptococcus pseudopneumoniae
ste	T00414	Streptococcus thermophilus LMD-9
stea	T05792	Sporolactobacillus terrae
stek	T04408	Stenotrophomonas sp. KCTC 12332
stem	T05384	Stenotrophomonas sp. MYb57
sten	T04963	Stenotrophomonas sp. WZN-1
ster	T04307	Sphingopyxis terrae
stf	T02088	Streptococcus salivarius 57.I
stg	T01794	Streptococcus pyogenes MGAS15252 (serotype M59)
sth	T00196	Symbiobacterium thermophilum
sthe	T03360	Streptococcus thermophilus ASCC 1275
sths	T04785	Streptococcus thermophilus S9
sti	T01128	Sphaerobacter thermophilus
stj	T02089	Streptococcus salivarius JIM8777
stk	T01504	Streptococcus parauberis
stl	T00213	Streptococcus thermophilus LMG 18311
stm	T00065	Salmonella enterica subsp. enterica serovar Typhimurium LT2
stn	T01978	Streptococcus thermophilus ND03
sto	T00062	Sulfurisphaera tokodaii
stp	T00504	Salinispora tropica
stq	T02016	Spirochaeta thermophila DSM 6578
str	T01123	Sebaldella termitidis
stra	T05522	Streptococcus sp. A12
strc	T03968	Streptomyces sp. CNQ-509
strd	T04862	Streptomyces sp. CCM_MD2014
stre	T03587	Streptomyces sp. 769
strf	T04265	Streptomyces sp. 4F
stri	T05561	Streptacidiphilus sp. DSM 106435
strm	T03958	Streptomyces sp. Mg1
strn	T05541	Streptococcus sp. NPS 308
stro	T05374	Streptomyces sp. MOE7
strp	T02619	Streptomyces sp. PAMC 26508
strr	T05863	Streptomonospora sp. M2
strs	T03511	Streptococcus salivarius NCTC 8618
strt	T04706	Streptomyces sp. SAT1
stsi	T04777	Streptomyces qaidamensis
stt	T00121	Salmonella enterica subsp. enterica serovar Typhi Ty2
stu	T02026	Streptococcus thermophilus JIM 8232
stur	T04034	Spiroplasma turonicum
stv	T03287	Streptococcus sp. VT 162
stw	T02116	Streptococcus thermophilus MN-ZLW-002
stx	T02062	Streptococcus pyogenes MGAS1882 (serotype M59)
sty	T00064	Salmonella enterica subsp. enterica serovar Typhi CT18
stz	T02019	Streptococcus pyogenes Alab49 (serotype M53)
sua	T01316	Sulfurimonas autotrophica
suam	T04555	Sulfitobacter sp. AM1-D1
sub	T00849	Streptococcus uberis
suc	T01887	Staphylococcus aureus subsp. aureus ECT-R 2
sud	T02043	Staphylococcus aureus subsp. aureus 71193 (MSSA)
sue	T01869	Staphylococcus aureus subsp. aureus ED133
suf	T02085	Staphylococcus aureus subsp. aureus LGA251 (MRSA)
sug	T02071	Staphylococcus aureus subsp. aureus ST398 (MRSA)
suh	T01767	Staphylococcus argenteus
sui	T02024	Streptococcus suis JS14 (serotype 14)
suj	T01870	Staphylococcus aureus subsp. aureus JKD6159 (CA-MRSA)
suk	T01886	Staphylococcus aureus subsp. aureus JKD6008 (MRSA/VISA)
sul	T00715	Sulfurihydrogenibium sp. YO3AOP1
sula	T04516	Sulfolobus sp. A20
suld	T05714	Sulfitobacter sp. D7
sulf	T04857	Sulfuriferula sp. AH1
suli	T05585	Sulfitobacter sp. JL08
sulj	T05109	Sulfurospirillum sp. JPD-1
sulr	T02537	Candidatus Sulfuricurvum sp. RIFRC-1
suls	T04910	Sulfurospirillum sp. SL2-1
sulz	T05563	Sulfitobacter sp. SK012
sum	T01303	Candidatus Sulcia muelleri CARI
sun	T00572	Sulfurovum sp. NBC37-1
suo	T02025	Streptococcus suis SS12 (serotype 1/2)
sup	T02214	Streptococcus suis S735 (serotype 2)
suq	T01889	Staphylococcus aureus subsp. aureus TCH60
sur	T01425	Stigmatella aurantiaca
sure	T04877	Sporosarcina ureae
sus	T00412	Candidatus Solibacter usitatus
sut	T01888	Staphylococcus aureus subsp. aureus T0131 (MRSA)
sutt	T05697	Sutterella megalosphaeroides
suu	T01744	Staphylococcus aureus subsp. aureus M013 (CA-MRSA)
suv	T01745	Staphylococcus aureus subsp. aureus VC40
suw	T02060	Staphylococcus aureus subsp. aureus TW20 (MRSA)
sux	T02059	Staphylococcus aureus subsp. aureus HO 5096 0412 (MRSA)
suy	T02070	Staphylococcus aureus 04-02981 (MRSA)
suz	T01950	Staphylococcus aureus subsp. aureus 11819-97 (CA-MRSA)
sva	T05321	Sulfurifustis variabilis
sve	T02274	Streptomyces venezuelae
svi	T00980	Saccharomonospora viridis
svl	T01602	Streptomyces violaceusniger
svo	T01206	Shewanella violacea
svt	T03586	Streptomyces vietnamensis
svu	T05124	Streptomyces violaceoruber
swa	T02449	Staphylococcus warneri
swd	T00676	Shewanella woodyi
swi	T00538	Sphingomonas wittichii
swo	T00396	Syntrophomonas wolfei
swp	T00791	Shewanella piezotolerans
sxi	T03904	Streptomyces xiamenensis
sxl	T03311	Staphylococcus xylosus SMQ-121
sxo	T03742	Staphylococcus xylosus C2a
sxy	T03248	Staphylococcus xylosus HKUOPL8
sya	T05170	Sphingobium yanoikuyae
syb	T03855	Sphingobium sp. YBL2
syc	T00163	Synechococcus elongatus PCC6301
syd	T00292	Synechococcus sp. CC9605
sye	T00293	Synechococcus sp. CC9902
syf	T00300	Synechococcus elongatus PCC7942
syg	T00390	Synechococcus sp. CC9311
syh	T03783	Synechococcus sp. WH 8109
syi	T04145	Sediminicola sp. YIK13
syj	T03386	Synechocystis sp. PCC 6714
syn	T00004	Synechocystis sp. PCC 6803
synd	T03346	Synechococcus sp. KORDI-52
syne	T02370	Synechococcus sp. PCC 6312
synk	T03344	Synechococcus sp. KORDI-100
synp	T02371	Synechococcus sp. PCC 7502
synr	T03345	Synechococcus sp. KORDI-49
synw	T04859	Synechococcus sp. WH 8103
syo	T05368	Synechocystis sp. IPPAS B-1465
syp	T00664	Synechococcus sp. PCC7002
syq	T01891	Synechocystis sp. PCC 6803 PCC-P
syr	T00523	Synechococcus sp. RCC307
sys	T01778	Synechocystis sp. PCC 6803 PCC-N
syt	T01777	Synechocystis sp. PCC 6803 GT-I
syu	T03581	Synechococcus sp. UTEX 2973
syv	T05693	Synechococcus sp. PCC 73109
syw	T00144	Synechococcus sp. WH8102
syx	T00524	Synechococcus sp. WH7803
syy	T02098	Synechocystis sp. PCC 6803 GT-S
syz	T02468	Synechocystis sp. PCC 6803
sze	T03699	Siansivirga zeaxanthinifaciens
taa	T04185	Candidatus Nitrosocosmicus oleophilus
tab	T04994	Tumebacillus algifaecis
tac	T00037	Thermoplasma acidophilum
taci	T05396	Thermodesulfobium acidiphilum
tad	T01069	Trichoplax adhaerens
tae	T02434	Tepidanaerobacter acetatoxydans Re1
taf	T00797	Thermosipho africanus
tag	T01237	Thermosphaera aggregans
tah	T03883	Candidatus Nitrosotenuis cloacae
tai	T01129	Thermanaerovibrio acidaminovorans
taj	T05295	Tamlana sp. UJ94
tak	T05381	Thauera aromatica
tal	T01179	Thermocrinis albus
tam	T01391	Thermovibrio ammonificans
tan	T00253	Theileria annulata
tao	T03589	Thiomicrospira aerophila
tap	T03216	Terribacillus goriensis
taq	T04117	Thermus aquaticus
tar	T02532	Thermoplasmatales archaeon BRNA1
tas	T01634	Taylorella asinigenitalis MCE3
tat	T02603	Taylorella asinigenitalis 14/45
tau	T00904	Tolumonas auensis
taw	T05742	Tabrizicola sp. K13M18
taz	T01506	Treponema azotonutricium
tba	T01377	Thermococcus barophilus
tbc	T04600	Thermus brockianus
tbd	T00275	Thiobacillus denitrificans
tbe	T01489	Treponema brennaborense
tbi	T01236	Thermobispora bispora
tbl	T02489	Tetrapisispora blattae
tbm	T05457	Tenericutes bacterium MO-XQ
tbn	T03600	Thiolapillus brandeum
tbo	T01409	Thermoanaerobacter brockii
tbr	T01013	Trypanosoma brucei
tbs	T05081	Thermococcus barossii
tbw	T05959	Trueperella bialowiezensis
tbz	T05490	Tenericutes bacterium MZ-XQ
tca	T01046	Tribolium castaneum (red flour beetle)
tcb	T03526	Thermofilum carboxyditrophus
tcc	T02994	Theobroma cacao (cacao)
tce	T05076	Thermococcus celer
tch	T04536	Thermococcus chitonophagus
tci	T04873	Tatumella citrea
tcl	T04612	Thauera chlorobenzoica
tcm	T03212	Thermodesulfobacterium commune
tco	T02394	Thermobacillus composti
tcr	T01012	Trypanosoma cruzi
tcu	T01127	Thermomonospora curvata
tcx	T00296	Hydrogenovibrio crunogenus
tcy	T01517	Thiomicrospira cyclica
tde	T00157	Treponema denticola
tdi	T04208	Tenacibaculum dicentrarchi
tdl	T02236	Torulaspora delbrueckii
tdn	T00298	Sulfurimonas denitrificans
tea	T02186	Taylorella equigenitalis ATCC 35865
tee	T04171	Candidatus Tenderia electrophaga
teg	T02604	Taylorella equigenitalis 14/56
tel	T00090	Thermosynechococcus elongatus
ten	T04588	Tenacibaculum sp. LPB0136
tep	T01495	Tepidanaerobacter acetatoxydans Re1
teq	T01390	Taylorella equigenitalis MCE9
ter	T00387	Trichodesmium erythraeum
tes	T04732	Tessaracoccus aquimaris
tet	T01020	Tetrahymena thermophila
teu	T03421	Thermococcus eurythermalis
tex	T00648	Thermoanaerobacter sp. X514
tez	T04747	Tessaracoccus sp. T2.5-30
